Modelo,CVE ID,Second Description,AccessVector,Attack Complexity,Confidentiality Impact,Integrity Impact,Availability Impact,Base Score,Base Severity,Exploitability Score,Impact Score
HP OfficeJet Pro,CVE-2019-16240,"Se presenta un problema de desbordamiento del búfer y de divulgación de información en HP OfficeJet Pro Printers versiones anteriores a 001.1937C, y HP PageWide Managed Printers y HP PageWide Pro Printers versiones anteriores a 001.1937D; Un archivo de impresión diseñado de forma maliciosa podría causar la afirmación de determinadas impresoras HP Inkjet. En determinadas circunstancias, la impresora produce un volcado del núcleo a un dispositivo local",NETWORK,LOW,HIGH,NONE,HIGH,9.1,CRITICAL,NULL,NULL
Brother MFC-9970CDW,CVE-2013-2507,"Múltiples vulnerabilidades de XSS en la impresora Brother MFC-9970CDW con firmware G (1.03) permiten a atacantes remotos inyectar script Web o HTML arbitrarios a través del parámetro (1) id hacia admin/log_to_net.html o (2) kind hacia fax/copy_settings.html, una vulnerabilidad diferente a CVE-2013-2670 y CVE-2013-2671.",NETWORK,MEDIUM,NONE,PARTIAL,NONE,4.3,MEDIUM,NULL,NULL
Brother MFC-9970CDW,CVE-2013-2670,"Vulnerabilidad de XSS en la impresora Brother MFC-9970CDW con firmware G (1.03) y L (1.10) permite a atacantes remotos inyectar script Web o HTML arbitrarios a través de un parámetro name (QUERY_STRING) arbitrario hacia admin/admin_main.html, una vulnerabilidad diferente a CVE-2013-2507 y CVE-2013-2671.",NETWORK,MEDIUM,NONE,PARTIAL,NONE,4.3,MEDIUM,NULL,NULL
Brother MFC-9970CDW,CVE-2013-2671,"Múltiples vulnerabilidades de XSS en la impresora Brother MFC-9970CDW con firmware L (1.10) permiten a atacantes remotos inyectar script Web o HTML arbitrarios a través de (1) el parámetro id o (2) val hacia admin/admin_main.html; (3) el parámetro id, (4) val o (5) name (QUERY_STRING) arbitrario hacia admin/profile_settings_net.html; o (6) el parámetro kind o (7) name (QUERY_STRING) arbitrario hacia fax/general_setup.html, una vulnerabilidad diferente a CVE-2013-2507 y CVE-2013-2670.",NETWORK,MEDIUM,NONE,PARTIAL,NONE,4.3,MEDIUM,NULL,NULL
Brother MFC-9970CDW,CVE-2013-2672,"Los dispositivos Brother MFC-9970CDW con firmware 0D, permiten el envío de contraseñas en texto sin cifrar.",NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,NULL,NULL
Brother MFC-9970CDW,CVE-2013-2673,"Los dispositivos Brother MFC-9970CDW versión 1.10 firmware L, contienen una vulnerabilidad de omisión de seguridad que permite a atacantes físicamente cercanos conseguir acceso no autorizado.",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Brother MFC-9970CDW,CVE-2013-2674,"Los dispositivos Brother MFC-9970CDW versión 1.10 firmware L, contienen una vulnerabilidad de divulgación de información que permite a atacantes remotos visualizar información confidencial de los registros de referencia debido al manejo inadecuado de los encabezados referer de HTTP.",NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,NULL,NULL
Brother MFC-9970CDW,CVE-2013-2676,"Los dispositivos Brother MFC-9970CDW versión 1.10 firmware L, contienen una vulnerabilidad de divulgación de información que permite a atacantes remotos visualizar direcciones IP privadas y otra información confidencial.",NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,NULL,NULL
Brother MFC-9970CDW,CVE-2013-2675,"Los dispositivos Brother MFC-9970CDW versión 1.10 con Firmware L, contienen una vulnerabilidad de respuesta Enmarcable (Secuestro de Cliqueo), lo que podría permitir a atacantes remotos obtener información confidencial.",NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,NULL,NULL
Xpress M288OFW,CVE-2015-5729,"La característica Soft Access Point (AP) en Samsung Smart TV X10P, X12, X14H, X14J y NT14U e impresoras Xpress M288OFW genera claves WPA2 PSK débiles, lo que hace más fácil para atacantes remotos obtener información sensible o eludir la autenticación a través de un ataque de fuerza bruta.",NETWORK,LOW,PARTIAL,NONE,NONE,5.0,MEDIUM,NULL,NULL
Pebble Smartwatch,CVE-2016-10702,Los dispositivos Pebble Smartwatch hasta la versión 4.3 gestionan el almacenamiento UUID de manera incorrecta. Esto permite que atacantes lean el almacenamiento flash de una aplicación arbitraria y accedan a la instancia JavaScript de una aplicación arbitraria modificando un valor UUID en la cabecera de un binario de aplicación manipulado.,NETWORK,MEDIUM,PARTIAL,PARTIAL,NONE,5.8,MEDIUM,NULL,NULL
Apple Watch Ultra,CVE-2023-40418,Se solucionó un problema de autenticación con una gestión de estado mejorada. Este problema se solucionó en watchOS 10. Es posible que un Apple Watch Ultra no se bloquee cuando se usa la aplicación Depth.,LOCAL,LOW,NONE,HIGH,NONE,5.5,MEDIUM,NULL,NULL
Lenovo ThinkPad T440s,CVE-2015-7267,"Las unidades de estado sólido Samsung 850 Pro y PM851 y las unidades de disco duro Seagate ST500LT015 y ST500LT025, cuando están en modo de espera y operando en modo Opal o eDrive en portátiles Lenovo ThinkPad T440s con BIOS 2.32; portátiles ThinkPad W541 con BIOS 2.21; portátiles Dell Latitude E6410 con BIOS A16; o portátiles Latitude E6430 con BIOS A16, permiten que atacantes cercanos físicamente omitan la protección Self-Encrypting Drive (SED) aprovechando el fracaso a la hora de detectar cuándo están desconectados los discos SATA en modo de espera. Esto también se conoce como ""Hot Plug attack"".",LOCAL,MEDIUM,PARTIAL,NONE,NONE,1.9,LOW,NULL,NULL
Lenovo ThinkPad T440s,CVE-2015-7268,"Las unidades de estado sólido Samsung 850 Pro y PM851 y las unidades de disco duro Seagate ST500LT015 y ST500LT025, cuando se utilizan en Windows y operan en modo Opal en portátiles Lenovo ThinkPad T440s con BIOS 2.32 o portátiles ThinkPad W541 con BIOS 2.21; o en modo Opal o eDrive en portátiles Dell Latitude E6410 con BIOS A16; o portátiles Latitude E6430 con BIOS A16, permiten que atacantes físicamente cercanos omitan la protección Self-Encrypting Drive (SED) desencadenando un restablecimiento parcial y arrancando desde un sistema operativo alternativo. Esto también se conoce como ""Forced Restart Attack"".",LOCAL,MEDIUM,PARTIAL,NONE,NONE,1.9,LOW,NULL,NULL
Lenovo ThinkPad W541,CVE-2015-7267,"Las unidades de estado sólido Samsung 850 Pro y PM851 y las unidades de disco duro Seagate ST500LT015 y ST500LT025, cuando están en modo de espera y operando en modo Opal o eDrive en portátiles Lenovo ThinkPad T440s con BIOS 2.32; portátiles ThinkPad W541 con BIOS 2.21; portátiles Dell Latitude E6410 con BIOS A16; o portátiles Latitude E6430 con BIOS A16, permiten que atacantes cercanos físicamente omitan la protección Self-Encrypting Drive (SED) aprovechando el fracaso a la hora de detectar cuándo están desconectados los discos SATA en modo de espera. Esto también se conoce como ""Hot Plug attack"".",LOCAL,MEDIUM,PARTIAL,NONE,NONE,1.9,LOW,NULL,NULL
Lenovo ThinkPad W541,CVE-2015-7268,"Las unidades de estado sólido Samsung 850 Pro y PM851 y las unidades de disco duro Seagate ST500LT015 y ST500LT025, cuando se utilizan en Windows y operan en modo Opal en portátiles Lenovo ThinkPad T440s con BIOS 2.32 o portátiles ThinkPad W541 con BIOS 2.21; o en modo Opal o eDrive en portátiles Dell Latitude E6410 con BIOS A16; o portátiles Latitude E6430 con BIOS A16, permiten que atacantes físicamente cercanos omitan la protección Self-Encrypting Drive (SED) desencadenando un restablecimiento parcial y arrancando desde un sistema operativo alternativo. Esto también se conoce como ""Forced Restart Attack"".",LOCAL,MEDIUM,PARTIAL,NONE,NONE,1.9,LOW,NULL,NULL
Lenovo ThinkPad W541,CVE-2015-7269,"Las unidades de disco duro Seagate ST500LT015, cuando operan en modo eDrive en portátiles Lenovo ThinkPad W541 con BIOS 2.21, permiten que atacantes físicamente cercanos omitan la protección Self-Encrypting Drive (SED) uniendo un segundo conector SATA a los pines expuestos, manteniendo una fuente de energía alternativa y conectando el cable de datos a otra máquina. Esto también se conoce como ""Hot Unplug Attack"".",LOCAL,MEDIUM,PARTIAL,NONE,NONE,1.9,LOW,NULL,NULL
Apple Mac Mini,CVE-2006-6292,"Apple Airport Extreme firmware 0.1.27 en Mac OS X 10.4.8 permite a atacantes remotos provocar una denegación de servicio (acceso a memoria fuera de rango, y fallo irrecuperable del sistema o kernel panic) y también otros posibles impactos relacionados con la seguridad mediante ciertos marcos (beacon frames).",ADJACENT_NETWORK,MEDIUM,NONE,NONE,COMPLETE,5.7,MEDIUM,NULL,NULL
Apple Mac Mini,CVE-2007-0355,"Un desbordamiento de búfer en Apple Minimal SLP v2 Service Agent (slpd) en Mac OS X versión 10.4.11 y anteriores, incluyendo versión 10.4.8, permite a usuarios locales, y posiblemente a atacantes remotos, alcanzar privilegios y posiblemente ejecutar código arbitrario por medio de una petición de registro con un campo attr-list no válido.",LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,NULL,NULL
ASUS ROG Zephyrus M GM501GS,CVE-2019-18216,"** EN DISPUTA ** El diseño de la configuración del BIOS en los ordenadores portátiles ASUS ROG Zephyrus M GM501GS con BIOS versión 313 se basa en la batería principal en lugar de usar una batería CMOS, lo que reduce el valor de un mecanismo de protección en el que se prohíbe el arranque desde un dispositivo USB. Los atacantes con acceso físico a la computadora portátil pueden agotar la batería principal para restablecer la configuración del BIOS, y luego lograr acceso directo al disco duro iniciando un sistema operativo USB en vivo sin desensamblar el ordenador portátil. NOTA: el proveedor ha indicado aparentemente que esto es ""normal"" y que el uso de la misma batería para el BIOS y el sistema en general es un ""new design"". Sin embargo, el proveedor planea aparentemente ""improve"" esto un tiempo posterior no especificado.",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
ASUSTek ZenBook Pro Due 15 UX582,CVE-2021-42055,"ASUSTek ZenBook Pro Due 15 UX582 laptop versiones de firmware hasta 203, presenta Permisos No seguros que permiten ataques por parte de un atacante físicamente próximo",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Lenovo Yoga,CVE-2016-8227,"Vulnerabilidad de escalada de privilegios en la aplicación Lenovo Transition utilizada en sistemas Lenovo Yoga, Flex y Miix que ejecutan Windows permite a usuarios locales ejecutar código con privilegios elevados.",LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,NULL,NULL
Lenovo Flex,CVE-2016-8227,"Vulnerabilidad de escalada de privilegios en la aplicación Lenovo Transition utilizada en sistemas Lenovo Yoga, Flex y Miix que ejecutan Windows permite a usuarios locales ejecutar código con privilegios elevados.",LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,NULL,NULL
Lenovo Miix,CVE-2016-8227,"Vulnerabilidad de escalada de privilegios en la aplicación Lenovo Transition utilizada en sistemas Lenovo Yoga, Flex y Miix que ejecutan Windows permite a usuarios locales ejecutar código con privilegios elevados.",LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,NULL,NULL
Lenovo ThinkPad T460p,CVE-2019-6188,"El mecanismo de detección de manipulación del BIOS no se activó en Lenovo ThinkPad T460p, versiones de BIOS hasta R07ET90W, y T470p, versiones de BIOS hasta R0FET50W, lo que puede permitir el acceso no autorizado.",NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,NULL,NULL
Lenovo ThinkPad T495,CVE-2020-8334,"El mecanismo de detección de manipulación del BIOS no se activó en Lenovo ThinkPad T495s, X395, T495, A485, A285, A475, A275, lo que puede permitir un acceso no autorizado",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Lenovo ThinkPad T495,CVE-2020-8335,"El mecanismo de detección de alteraciones del BIOS no fue activado en Lenovo ThinkPad A285, versiones de BIOS hasta r0xuj70w;&#xa0;A485, versiones de BIOS hasta r0wuj65w;&#xa0;T495 versiones de BIOS hasta r12uj55w;&#xa0;T495s/X395 versiones de BIOS hasta r13uj47w, mientras es presionado el botón de reinicio de emergencia que puede permitir un acceso no autorizado",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Lenovo ThinkPad X395,CVE-2020-8334,"El mecanismo de detección de manipulación del BIOS no se activó en Lenovo ThinkPad T495s, X395, T495, A485, A285, A475, A275, lo que puede permitir un acceso no autorizado",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Lenovo ThinkPad T495,CVE-2020-8334,"El mecanismo de detección de manipulación del BIOS no se activó en Lenovo ThinkPad T495s, X395, T495, A485, A285, A475, A275, lo que puede permitir un acceso no autorizado",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Lenovo ThinkPad T495,CVE-2020-8335,"El mecanismo de detección de alteraciones del BIOS no fue activado en Lenovo ThinkPad A285, versiones de BIOS hasta r0xuj70w;&#xa0;A485, versiones de BIOS hasta r0wuj65w;&#xa0;T495 versiones de BIOS hasta r12uj55w;&#xa0;T495s/X395 versiones de BIOS hasta r13uj47w, mientras es presionado el botón de reinicio de emergencia que puede permitir un acceso no autorizado",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Lenovo ThinkPad A485,CVE-2020-8334,"El mecanismo de detección de manipulación del BIOS no se activó en Lenovo ThinkPad T495s, X395, T495, A485, A285, A475, A275, lo que puede permitir un acceso no autorizado",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Lenovo ThinkPad A485,CVE-2020-8335,"El mecanismo de detección de alteraciones del BIOS no fue activado en Lenovo ThinkPad A285, versiones de BIOS hasta r0xuj70w;&#xa0;A485, versiones de BIOS hasta r0wuj65w;&#xa0;T495 versiones de BIOS hasta r12uj55w;&#xa0;T495s/X395 versiones de BIOS hasta r13uj47w, mientras es presionado el botón de reinicio de emergencia que puede permitir un acceso no autorizado",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Lenovo ThinkPad A285,CVE-2020-8334,"El mecanismo de detección de manipulación del BIOS no se activó en Lenovo ThinkPad T495s, X395, T495, A485, A285, A475, A275, lo que puede permitir un acceso no autorizado",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Lenovo ThinkPad A285,CVE-2020-8335,"El mecanismo de detección de alteraciones del BIOS no fue activado en Lenovo ThinkPad A285, versiones de BIOS hasta r0xuj70w;&#xa0;A485, versiones de BIOS hasta r0wuj65w;&#xa0;T495 versiones de BIOS hasta r12uj55w;&#xa0;T495s/X395 versiones de BIOS hasta r13uj47w, mientras es presionado el botón de reinicio de emergencia que puede permitir un acceso no autorizado",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Lenovo ThinkPad A475,CVE-2020-8334,"El mecanismo de detección de manipulación del BIOS no se activó en Lenovo ThinkPad T495s, X395, T495, A485, A285, A475, A275, lo que puede permitir un acceso no autorizado",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Lenovo ThinkPad A275,CVE-2020-8334,"El mecanismo de detección de manipulación del BIOS no se activó en Lenovo ThinkPad T495s, X395, T495, A485, A285, A475, A275, lo que puede permitir un acceso no autorizado",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Thinkpad X1 Fold Gen 1,CVE-2022-1108,Una potencial vulnerabilidad debida a una comprobación inapropiada del buffer en el manejador SMI LenovoFlashDeviceInterface en el Thinkpad X1 Fold Gen 1 podría ser explotada por un atacante con acceso local y altos privilegios para ejecutar código arbitrario,LOCAL,LOW,HIGH,HIGH,HIGH,6.7,MEDIUM,NULL,NULL
ASUS VivoMini,CVE-2022-21933,"El dispositivo ASUS VivoMini/Mini PC presenta una vulnerabilidad de comprobación de entrada inapropiada. Un atacante local con privilegios de sistema puede usar la interrupción de administración del sistema (SMI) para modificar la memoria, resultando en una ejecución de código arbitrario para controlar el sistema o interrumpir el servicio",LOCAL,LOW,HIGH,HIGH,HIGH,7.8,HIGH,NULL,NULL
ASUS ROG Zephyrus M GM501GS,CVE-2019-18216,"** EN DISPUTA ** El diseño de la configuración del BIOS en los ordenadores portátiles ASUS ROG Zephyrus M GM501GS con BIOS versión 313 se basa en la batería principal en lugar de usar una batería CMOS, lo que reduce el valor de un mecanismo de protección en el que se prohíbe el arranque desde un dispositivo USB. Los atacantes con acceso físico a la computadora portátil pueden agotar la batería principal para restablecer la configuración del BIOS, y luego lograr acceso directo al disco duro iniciando un sistema operativo USB en vivo sin desensamblar el ordenador portátil. NOTA: el proveedor ha indicado aparentemente que esto es ""normal"" y que el uso de la misma batería para el BIOS y el sistema en general es un ""new design"". Sin embargo, el proveedor planea aparentemente ""improve"" esto un tiempo posterior no especificado.",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Dell XPS 13 9370,CVE-2020-5387,"BIOS Dell XPS 13 9370 versiones anteriores a 1.13.1, contienen una vulnerabilidad de Manejo de Excepciones Inapropiadas.&#xa0;Un atacante local con acceso físico podría explotar esta vulnerabilidad para impedir que el sistema se inicie hasta que el dispositivo de arranque explotado sea removido",LOCAL,LOW,NONE,NONE,HIGH,4.4,MEDIUM,NULL,NULL
Dell XPS 13 2-in-1,CVE-2019-18579,"La configuración de las versiones anteriores a 1.1.3 del Dell XPS 13 2-in-1 (7390) BIOS, contiene una vulnerabilidad de configuración. La configuración del BIOS para la configuración ""Enable Thunderbolt (and PCIe behind TBT) pre-boot modules"" está habilitada por defecto. Un atacante local no autenticado con acceso físico al sistema de un usuario puede obtener acceso de lectura o escritura a la memoria principal por medio de un ataque de tipo DMA durante el arranque de la plataforma.",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Dell Latitude Z600,CVE-2013-3582,"Desbordamiento de búfer en Dell BIOS en dispositivos Dell Latitude D###, E####, XT2, y dispositivos Z600, y Dell Precision M####, permite a usuarios locales saltarse los requisitos de firma de BIOS e instalar imágenes de BIOS arbitrarias mediante el aprovechamiento de los privilegios administrativos y proporcionar un valor manipulado rbu_packet.pktNum en conjunto con un valor rbu_packet.pktSize manipulado.",NETWORK,HIGH,COMPLETE,COMPLETE,COMPLETE,7.6,HIGH,NULL,NULL
Dell Precision 7920,CVE-2021-21554,"Dell PowerEdge R640, R740, R740XD, R840, R940, R940xa, MX740c, MX840c, y, Dell Precision 7920 Rack Workstation BIOS, contienen una vulnerabilidad de desbordamiento del búfer en la región stack de la memoria en los sistemas con Intel Optane DC Persistent Memory instalado. Un usuario local malicioso con privilegios elevados puede explotar potencialmente esta vulnerabilidad, conllevando a una denegación de servicio, una ejecución de código arbitrario o una divulgación de información en UEFI o BIOS Preboot Environment",LOCAL,LOW,HIGH,HIGH,HIGH,6.7,MEDIUM,NULL,NULL
Dell Precision 7920,CVE-2022-22558,La BIOS del servidor Dell PowerEdge y la BIOS de la estación de trabajo Dell Precision 7910 y 7920 para rack contienen una vulnerabilidad de verificación del búfer de comunicación SMM inadecuada. Un atacante local con altos privilegios podría explotar potencialmente esta vulnerabilidad que conduce a escrituras arbitrarias o a la denegación de servicio,LOCAL,LOW,NONE,HIGH,HIGH,6.0,MEDIUM,NULL,NULL
Dell Precision 7910,CVE-2022-22558,La BIOS del servidor Dell PowerEdge y la BIOS de la estación de trabajo Dell Precision 7910 y 7920 para rack contienen una vulnerabilidad de verificación del búfer de comunicación SMM inadecuada. Un atacante local con altos privilegios podría explotar potencialmente esta vulnerabilidad que conduce a escrituras arbitrarias o a la denegación de servicio,LOCAL,LOW,NONE,HIGH,HIGH,6.0,MEDIUM,NULL,NULL
Dell Inspiron 5675,CVE-2020-26186,"Dell Inspiron 5675 BIOS versiones anteriores a 1.4.1, contienen una vulnerabilidad de sobrescritura de UEFI BIOS RuntimeServices.&#xa0;Un atacante local con acceso a una memoria del sistema puede explotar esta vulnerabilidad al sobrescribir la estructura de RuntimeServices para ejecutar código arbitrario en System Management Mode (SMM)",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Dell Optiplex,CVE-2015-2890,"Vulnerabilidad en la implementación de la BIOS en dispositivos Dell Latitude, OptiPlex, Precisision Mobile Workstation y Precision Workstation Client Solutions (CS) con modelo dependiente del firmware anterior a A21, no impone un mecanismo de protección de bloqueo BIOS_CNTL al ser despertado de la suspensión, lo que permite a usuarios locales conducir ataques de flash EFI mediante el aprovechamiento de acceso a la consola, un problema similar a CVE-2015-3692.",LOCAL,LOW,NONE,HIGH,HIGH,6.0,MEDIUM,NULL,NULL
Dell Latitude 2110,CVE-2010-0834,"El paquete base-files anterior a v5.0.0ubuntu7.1 en Ubuntu v9.10 y anterior a v5.0.0ubuntu20.10.04.2 en Ubuntu v10.04 LTS, como los incluidos en portátiles Dell Latitude 2110, no necesitan autenticación para la instalación de paquetes, lo que permite a atacantes con servidores de archivos remotos y ""man-in-the-middle"" (intermediario)  ejecutar código de su elección a través de paquetes manipulados.",NETWORK,MEDIUM,COMPLETE,COMPLETE,COMPLETE,9.3,HIGH,NULL,NULL
Lenovo ThinkPad T440s,CVE-2015-7267,"Las unidades de estado sólido Samsung 850 Pro y PM851 y las unidades de disco duro Seagate ST500LT015 y ST500LT025, cuando están en modo de espera y operando en modo Opal o eDrive en portátiles Lenovo ThinkPad T440s con BIOS 2.32; portátiles ThinkPad W541 con BIOS 2.21; portátiles Dell Latitude E6410 con BIOS A16; o portátiles Latitude E6430 con BIOS A16, permiten que atacantes cercanos físicamente omitan la protección Self-Encrypting Drive (SED) aprovechando el fracaso a la hora de detectar cuándo están desconectados los discos SATA en modo de espera. Esto también se conoce como ""Hot Plug attack"".",LOCAL,MEDIUM,PARTIAL,NONE,NONE,1.9,LOW,NULL,NULL
