Modelo,CVE ID,Spanish Description,English Description,AccessVector,Attack Complexity,Confidentiality Impact,Integrity Impact,Availability Impact,Base Score,Base Severity,Exploitability Score,Impact Score
Brother MFC-9970CDW,CVE-2013-2671,"Múltiples vulnerabilidades de XSS en la impresora Brother MFC-9970CDW con firmware L (1.10) permiten a atacantes remotos inyectar script Web o HTML arbitrarios a través de (1) el parámetro id o (2) val hacia admin/admin_main.html; (3) el parámetro id, (4) val o (5) name (QUERY_STRING) arbitrario hacia admin/profile_settings_net.html; o (6) el parámetro kind o (7) name (QUERY_STRING) arbitrario hacia fax/general_setup.html, una vulnerabilidad diferente a CVE-2013-2507 y CVE-2013-2670.","Multiple cross-site scripting (XSS) vulnerabilities in the Brother MFC-9970CDW printer with firmware L (1.10) allow remote attackers to inject arbitrary web script or HTML via the (1) id or (2) val parameter to admin/admin_main.html; (3) id, (4) val, or (5) arbitrary parameter name (QUERY_STRING) to admin/profile_settings_net.html; or (6) kind or (7) arbitrary parameter name (QUERY_STRING) to fax/general_setup.html, a different vulnerability than CVE-2013-2507 and CVE-2013-2670.",NETWORK,MEDIUM,NONE,PARTIAL,NONE,4.3,MEDIUM,NULL,NULL
Brother MFC-9970CDW,CVE-2013-2672,"Los dispositivos Brother MFC-9970CDW con firmware 0D, permiten el envío de contraseñas en texto sin cifrar.",Brother MFC-9970CDW devices with firmware 0D allow cleartext submission of passwords.,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,NULL,NULL
Brother MFC-9970CDW,CVE-2013-2673,"Los dispositivos Brother MFC-9970CDW versión 1.10 firmware L, contienen una vulnerabilidad de omisión de seguridad que permite a atacantes físicamente cercanos conseguir acceso no autorizado.",Brother MFC-9970CDW 1.10 firmware L devices contain a security bypass vulnerability which allows physically proximate attackers to gain unauthorized access.,PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Brother MFC-9970CDW,CVE-2013-2674,"Los dispositivos Brother MFC-9970CDW versión 1.10 firmware L, contienen una vulnerabilidad de divulgación de información que permite a atacantes remotos visualizar información confidencial de los registros de referencia debido al manejo inadecuado de los encabezados referer de HTTP.",Brother MFC-9970CDW 1.10 firmware L devices contain an information disclosure vulnerability which allows remote attackers to view sensitive information from referrer logs due to inadequate handling of HTTP referrer headers.,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,NULL,NULL
Brother MFC-9970CDW,CVE-2013-2676,"Los dispositivos Brother MFC-9970CDW versión 1.10 firmware L, contienen una vulnerabilidad de divulgación de información que permite a atacantes remotos visualizar direcciones IP privadas y otra información confidencial.",Brother MFC-9970CDW 1.10 firmware L devices contain an information disclosure vulnerability which allows remote attackers to view private IP addresses and other sensitive information.,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,NULL,NULL
Brother MFC-9970CDW,CVE-2013-2675,"Los dispositivos Brother MFC-9970CDW versión 1.10 con Firmware L, contienen una vulnerabilidad de respuesta Enmarcable (Secuestro de Cliqueo), lo que podría permitir a atacantes remotos obtener información confidencial.",Brother MFC-9970CDW 1.10 devices with Firmware L contain a Frameable response (Clickjacking) vulnerability which could allow remote attackers to obtain sensitive information.,NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,NULL,NULL
Xpress M288OFW,CVE-2015-5729,"La característica Soft Access Point (AP) en Samsung Smart TV X10P, X12, X14H, X14J y NT14U e impresoras Xpress M288OFW genera claves WPA2 PSK débiles, lo que hace más fácil para atacantes remotos obtener información sensible o eludir la autenticación a través de un ataque de fuerza bruta.","The Soft Access Point (AP) feature in Samsung Smart TVs X10P, X12, X14H, X14J, and NT14U and Xpress M288OFW printers generate weak WPA2 PSK keys, which makes it easier for remote attackers to obtain sensitive information or bypass authentication via a brute-force attack.",NETWORK,LOW,PARTIAL,NONE,NONE,5.0,MEDIUM,NULL,NULL
Pebble Smartwatch,CVE-2016-10702,Los dispositivos Pebble Smartwatch hasta la versión 4.3 gestionan el almacenamiento UUID de manera incorrecta. Esto permite que atacantes lean el almacenamiento flash de una aplicación arbitraria y accedan a la instancia JavaScript de una aplicación arbitraria modificando un valor UUID en la cabecera de un binario de aplicación manipulado.,"Pebble Smartwatch devices through 4.3 mishandle UUID storage, which allows attackers to read an arbitrary application's flash storage, and access an arbitrary application's JavaScript instance, by modifying a UUID value within the header of a crafted application binary.",NETWORK,MEDIUM,PARTIAL,PARTIAL,NONE,5.8,MEDIUM,NULL,NULL
Apple Watch Ultra,CVE-2023-40418,Se solucionó un problema de autenticación con una gestión de estado mejorada. Este problema se solucionó en watchOS 10. Es posible que un Apple Watch Ultra no se bloquee cuando se usa la aplicación Depth.,An authentication issue was addressed with improved state management. This issue is fixed in watchOS 10. An Apple Watch Ultra may not lock when using the Depth app.,LOCAL,LOW,NONE,HIGH,NONE,5.5,MEDIUM,NULL,NULL
Lenovo ThinkPad T440s,CVE-2015-7267,"Las unidades de estado sólido Samsung 850 Pro y PM851 y las unidades de disco duro Seagate ST500LT015 y ST500LT025, cuando están en modo de espera y operando en modo Opal o eDrive en portátiles Lenovo ThinkPad T440s con BIOS 2.32; portátiles ThinkPad W541 con BIOS 2.21; portátiles Dell Latitude E6410 con BIOS A16; o portátiles Latitude E6430 con BIOS A16, permiten que atacantes cercanos físicamente omitan la protección Self-Encrypting Drive (SED) aprovechando el fracaso a la hora de detectar cuándo están desconectados los discos SATA en modo de espera. Esto también se conoce como ""Hot Plug attack"".","Samsung 850 Pro and PM851 solid-state drives and Seagate ST500LT015 and ST500LT025 hard disk drives, when in sleep mode and operating in Opal or eDrive mode on Lenovo ThinkPad T440s laptops with BIOS 2.32; ThinkPad W541 laptops with BIOS 2.21; Dell Latitude E6410 laptops with BIOS A16; or Latitude E6430 laptops with BIOS A16, allow physically proximate attackers to bypass self-encrypting drive (SED) protection by leveraging failure to detect when SATA drives are unplugged in Sleep Mode, aka a ""Hot Plug attack.""",LOCAL,MEDIUM,PARTIAL,NONE,NONE,1.9,LOW,NULL,NULL
Lenovo ThinkPad T440s,CVE-2015-7268,"Las unidades de estado sólido Samsung 850 Pro y PM851 y las unidades de disco duro Seagate ST500LT015 y ST500LT025, cuando se utilizan en Windows y operan en modo Opal en portátiles Lenovo ThinkPad T440s con BIOS 2.32 o portátiles ThinkPad W541 con BIOS 2.21; o en modo Opal o eDrive en portátiles Dell Latitude E6410 con BIOS A16; o portátiles Latitude E6430 con BIOS A16, permiten que atacantes físicamente cercanos omitan la protección Self-Encrypting Drive (SED) desencadenando un restablecimiento parcial y arrancando desde un sistema operativo alternativo. Esto también se conoce como ""Forced Restart Attack"".","Samsung 850 Pro and PM851 solid-state drives and Seagate ST500LT015 and ST500LT025 hard disk drives, when used on Windows and operating in Opal mode on Lenovo ThinkPad T440s laptops with BIOS 2.32 or ThinkPad W541 laptops with BIOS 2.21, or in Opal or eDrive mode on Dell Latitude E6410 laptops with BIOS A16 or Latitude E6430 laptops with BIOS A16, allow physically proximate attackers to bypass self-encrypting drive (SED) protection by triggering a soft reset and booting from an alternative OS, aka a ""Forced Restart Attack.""",LOCAL,MEDIUM,PARTIAL,NONE,NONE,1.9,LOW,NULL,NULL
Lenovo ThinkPad W541,CVE-2015-7267,"Las unidades de estado sólido Samsung 850 Pro y PM851 y las unidades de disco duro Seagate ST500LT015 y ST500LT025, cuando están en modo de espera y operando en modo Opal o eDrive en portátiles Lenovo ThinkPad T440s con BIOS 2.32; portátiles ThinkPad W541 con BIOS 2.21; portátiles Dell Latitude E6410 con BIOS A16; o portátiles Latitude E6430 con BIOS A16, permiten que atacantes cercanos físicamente omitan la protección Self-Encrypting Drive (SED) aprovechando el fracaso a la hora de detectar cuándo están desconectados los discos SATA en modo de espera. Esto también se conoce como ""Hot Plug attack"".","Samsung 850 Pro and PM851 solid-state drives and Seagate ST500LT015 and ST500LT025 hard disk drives, when in sleep mode and operating in Opal or eDrive mode on Lenovo ThinkPad T440s laptops with BIOS 2.32; ThinkPad W541 laptops with BIOS 2.21; Dell Latitude E6410 laptops with BIOS A16; or Latitude E6430 laptops with BIOS A16, allow physically proximate attackers to bypass self-encrypting drive (SED) protection by leveraging failure to detect when SATA drives are unplugged in Sleep Mode, aka a ""Hot Plug attack.""",LOCAL,MEDIUM,PARTIAL,NONE,NONE,1.9,LOW,NULL,NULL
Lenovo ThinkPad W541,CVE-2015-7268,"Las unidades de estado sólido Samsung 850 Pro y PM851 y las unidades de disco duro Seagate ST500LT015 y ST500LT025, cuando se utilizan en Windows y operan en modo Opal en portátiles Lenovo ThinkPad T440s con BIOS 2.32 o portátiles ThinkPad W541 con BIOS 2.21; o en modo Opal o eDrive en portátiles Dell Latitude E6410 con BIOS A16; o portátiles Latitude E6430 con BIOS A16, permiten que atacantes físicamente cercanos omitan la protección Self-Encrypting Drive (SED) desencadenando un restablecimiento parcial y arrancando desde un sistema operativo alternativo. Esto también se conoce como ""Forced Restart Attack"".","Samsung 850 Pro and PM851 solid-state drives and Seagate ST500LT015 and ST500LT025 hard disk drives, when used on Windows and operating in Opal mode on Lenovo ThinkPad T440s laptops with BIOS 2.32 or ThinkPad W541 laptops with BIOS 2.21, or in Opal or eDrive mode on Dell Latitude E6410 laptops with BIOS A16 or Latitude E6430 laptops with BIOS A16, allow physically proximate attackers to bypass self-encrypting drive (SED) protection by triggering a soft reset and booting from an alternative OS, aka a ""Forced Restart Attack.""",LOCAL,MEDIUM,PARTIAL,NONE,NONE,1.9,LOW,NULL,NULL
Lenovo ThinkPad W541,CVE-2015-7269,"Las unidades de disco duro Seagate ST500LT015, cuando operan en modo eDrive en portátiles Lenovo ThinkPad W541 con BIOS 2.21, permiten que atacantes físicamente cercanos omitan la protección Self-Encrypting Drive (SED) uniendo un segundo conector SATA a los pines expuestos, manteniendo una fuente de energía alternativa y conectando el cable de datos a otra máquina. Esto también se conoce como ""Hot Unplug Attack"".","Seagate ST500LT015 hard disk drives, when operating in eDrive mode on Lenovo ThinkPad W541 laptops with BIOS 2.21, allow physically proximate attackers to bypass self-encrypting drive (SED) protection by attaching a second SATA connector to exposed pins, maintaining an alternate power source, and attaching the data cable to another machine, aka a ""Hot Unplug Attack.""",LOCAL,MEDIUM,PARTIAL,NONE,NONE,1.9,LOW,NULL,NULL
Apple Mac Mini,CVE-2006-6292,"Apple Airport Extreme firmware 0.1.27 en Mac OS X 10.4.8 permite a atacantes remotos provocar una denegación de servicio (acceso a memoria fuera de rango, y fallo irrecuperable del sistema o kernel panic) y también otros posibles impactos relacionados con la seguridad mediante ciertos marcos (beacon frames).","Apple Airport Extreme firmware 0.1.27 in Mac OS X 10.4.8 on Mac mini, MacBook, and MacBook Pro with Core Duo hardware allows remote attackers to cause a denial of service (out-of-bounds memory access and kernel panic) and have possibly other security-related impact via certain beacon frames.",ADJACENT_NETWORK,MEDIUM,NONE,NONE,COMPLETE,5.7,MEDIUM,NULL,NULL
Apple Mac Mini,CVE-2007-0355,"Un desbordamiento de búfer en Apple Minimal SLP v2 Service Agent (slpd) en Mac OS X versión 10.4.11 y anteriores, incluyendo versión 10.4.8, permite a usuarios locales, y posiblemente a atacantes remotos, alcanzar privilegios y posiblemente ejecutar código arbitrario por medio de una petición de registro con un campo attr-list no válido.","Buffer overflow in the Apple Minimal SLP v2 Service Agent (slpd) in Mac OS X 10.4.11 and earlier, including 10.4.8, allows local users, and possibly remote attackers, to gain privileges and possibly execute arbitrary code via a registration request with an invalid attr-list field.",LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,NULL,NULL
ASUS ROG Zephyrus M GM501GS,CVE-2019-18216,"** EN DISPUTA ** El diseño de la configuración del BIOS en los ordenadores portátiles ASUS ROG Zephyrus M GM501GS con BIOS versión 313 se basa en la batería principal en lugar de usar una batería CMOS, lo que reduce el valor de un mecanismo de protección en el que se prohíbe el arranque desde un dispositivo USB. Los atacantes con acceso físico a la computadora portátil pueden agotar la batería principal para restablecer la configuración del BIOS, y luego lograr acceso directo al disco duro iniciando un sistema operativo USB en vivo sin desensamblar el ordenador portátil. NOTA: el proveedor ha indicado aparentemente que esto es ""normal"" y que el uso de la misma batería para el BIOS y el sistema en general es un ""new design"". Sin embargo, el proveedor planea aparentemente ""improve"" esto un tiempo posterior no especificado.","The BIOS configuration design on ASUS ROG Zephyrus M GM501GS laptops with BIOS 313 relies on the main battery instead of using a CMOS battery, which reduces the value of a protection mechanism in which booting from a USB device is prohibited. Attackers who have physical laptop access can exhaust the main battery to reset the BIOS configuration, and then achieve direct access to the hard drive by booting a live USB OS without disassembling the laptop. NOTE: the vendor has apparently indicated that this is ""normal"" and use of the same battery for the BIOS and the overall system is a ""new design."" However, the vendor apparently plans to ""improve"" this an unspecified later time",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
ASUSTek ZenBook Pro Due 15 UX582,CVE-2021-42055,"ASUSTek ZenBook Pro Due 15 UX582 laptop versiones de firmware hasta 203, presenta Permisos No seguros que permiten ataques por parte de un atacante físicamente próximo",ASUSTek ZenBook Pro Due 15 UX582 laptop firmware through 203 has Insecure Permissions that allow attacks by a physically proximate attacker.,PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
Lenovo Yoga,CVE-2016-8227,"Vulnerabilidad de escalada de privilegios en la aplicación Lenovo Transition utilizada en sistemas Lenovo Yoga, Flex y Miix que ejecutan Windows permite a usuarios locales ejecutar código con privilegios elevados.","Privilege escalation vulnerability in Lenovo Transition application used in Lenovo Yoga, Flex and Miix systems running Windows allows local users to execute code with elevated privileges.",LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,NULL,NULL
Lenovo Flex,CVE-2016-8227,"Vulnerabilidad de escalada de privilegios en la aplicación Lenovo Transition utilizada en sistemas Lenovo Yoga, Flex y Miix que ejecutan Windows permite a usuarios locales ejecutar código con privilegios elevados.","Privilege escalation vulnerability in Lenovo Transition application used in Lenovo Yoga, Flex and Miix systems running Windows allows local users to execute code with elevated privileges.",LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,NULL,NULL
Lenovo Miix,CVE-2016-8227,"Vulnerabilidad de escalada de privilegios en la aplicación Lenovo Transition utilizada en sistemas Lenovo Yoga, Flex y Miix que ejecutan Windows permite a usuarios locales ejecutar código con privilegios elevados.","Privilege escalation vulnerability in Lenovo Transition application used in Lenovo Yoga, Flex and Miix systems running Windows allows local users to execute code with elevated privileges.",LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,NULL,NULL
Lenovo ThinkPad T460p,CVE-2019-6188,"El mecanismo de detección de manipulación del BIOS no se activó en Lenovo ThinkPad T460p, versiones de BIOS hasta R07ET90W, y T470p, versiones de BIOS hasta R0FET50W, lo que puede permitir el acceso no autorizado.","The BIOS tamper detection mechanism was not triggered in Lenovo ThinkPad T460p, BIOS versions up to R07ET90W, and T470p, BIOS versions up to R0FET50W, which may allow for unauthorized access.",NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,NULL,NULL
Lenovo ThinkPad T495,CVE-2020-8334,"El mecanismo de detección de manipulación del BIOS no se activó en Lenovo ThinkPad T495s, X395, T495, A485, A285, A475, A275, lo que puede permitir un acceso no autorizado","The BIOS tamper detection mechanism was not triggered in Lenovo ThinkPad T495s, X395, T495, A485, A285, A475, A275 which may allow for unauthorized access.",PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL
