idCWE;nombre_en;descripcion_en;nombre;descripcion
30;Path Traversal: 'dir..filename';The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize 'dir..filename' (leading backslash dot dot) sequences that can resolve to a location that is outside of that directory.;Path Traversal: 'Dir..filename';El producto utiliza la entrada externa para construir un nombre de ruta que debe estar dentro de un directorio restringido, pero no neutraliza correctamente las secuencias de 'dir ... nombre de fila' (punto de inverso de retroceso principal) que puede resolver en una ubicación que está fuera de ese directorio.
31;Path Traversal: 'dir....filename';The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize 'dir....filename' (multiple internal backslash dot dot) sequences that can resolve to a location that is outside of that directory.;Traversal de ruta: 'dir ... nombre de archivo';El producto utiliza la entrada externa para construir un nombre de ruta que debe estar dentro de un directorio restringido, pero no neutraliza correctamente las secuencias 'Dir ... nombre de archivo' (múltiples puntos de punto de retroceso interno) que pueden resolver en una ubicación que está fuera de esodirectorio.
32;Path Traversal: '...' (Triple Dot);The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '...' (triple dot) sequences that can resolve to a location that is outside of that directory.;Traversal de ruta: '...' (Dot triple);El producto utiliza la entrada externa para construir un nombre de ruta que debe estar dentro de un directorio restringido, pero no neutraliza correctamente las secuencias '...' (triple punto) que pueden resolverse en una ubicación que está fuera de ese directorio.
33;Path Traversal: '....' (Multiple Dot);The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '....' (multiple dot) sequences that can resolve to a location that is outside of that directory.;Traversal de ruta: '....' (punto múltiple);El producto utiliza la entrada externa para construir un nombre de ruta que debe estar dentro de un directorio restringido, pero no neutraliza correctamente las secuencias '...' (múltiples puntos) que pueden resolver una ubicación que está fuera de ese directorio.
34;Path Traversal: '....//';The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '....//' (doubled dot dot slash) sequences that can resolve to a location that is outside of that directory.;Traversal de ruta: '.... //';El producto utiliza la entrada externa para construir un nombre de ruta que debe estar dentro de un directorio restringido, pero no neutraliza correctamente las secuencias '... //' (Dopled Dot Dot Slash) que pueden resolver una ubicación fuera de ese directorio.
35;Path Traversal: '.../...//';The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '.../...//' (doubled triple dot slash) sequences that can resolve to a location that is outside of that directory.;Traversal de ruta: '.../... //';El producto utiliza la entrada externa para construir un nombre de ruta que debe estar dentro de un directorio restringido, pero no neutraliza correctamente las secuencias '.../... //' (Doubled Triple Dot Slash) que pueden resolverse en una ubicación afuerade ese directorio.
36;Absolute Path Traversal;The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize absolute path sequences such as /abs/path that can resolve to a location that is outside of that directory.;Transversal del camino absoluto;El producto utiliza la entrada externa para construir un nombre de ruta que debe estar dentro de un directorio restringido, pero no neutraliza correctamente las secuencias de ruta absoluta como /ABS /ruta que puede resolverse en una ubicación que está fuera de ese directorio.
37;Path Traversal: '/absolute/pathname/here';The product accepts input in the form of a slash absolute path ('/absolute/pathname/here') without appropriate validation, which can allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Path Traversal: '/absolute/pathname/here';El producto acepta la entrada en forma de una ruta absoluta de corte ('/absoluto/pathname/aquí') sin la validación adecuada, lo que puede permitir que un atacante atraviese el sistema de archivos a ubicaciones involuntarias o acceda a archivos arbitrarios.
38;Path Traversal: 'absolutepathnamehere';The product accepts input in the form of a backslash absolute path ('absolutepathnamehere') without appropriate validation, which can allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Traversal de ruta: 'absolutapathnamehere';El producto acepta la entrada en forma de una ruta absoluta de barra de barra de inactividad ('absolutaPathNameSe') sin la validación adecuada, lo que puede permitir que un atacante atraviese el sistema de archivos para ubicaciones no intencionadas o acceda a archivos arbitrarios.
39;Path Traversal: 'C:dirname';The product accepts input that contains a drive letter or Windows volume letter ('C:dirname') that potentially redirects access to an unintended location or arbitrary file.;Traversal de ruta: 'C: Dirname';El producto acepta la entrada que contiene una letra de unidad o una carta de volumen de Windows ('C: Dirname') que potencialmente redirige el acceso a una ubicación no deseada o un archivo arbitrario.
40;Path Traversal: 'UNCsharename' (Windows UNC Share);The product accepts input that identifies a Windows UNC share ('UNCsharename') that potentially redirects access to an unintended location or arbitrary file.;Traversal de ruta: 'uncsharename' (Windows UNC Share);El producto acepta una entrada que identifica un Windows UNC Share ('uncsharename') que potencialmente redirige el acceso a una ubicación no deseada o un archivo arbitrario.
41;Improper Resolution of Path Equivalence;The product is vulnerable to file system contents disclosure through path equivalence. Path equivalence involves the use of special characters in file and directory names. The associated manipulations are intended to generate multiple names for the same object.;Resolución inadecuada de la equivalencia de ruta;El producto es vulnerable a la divulgación de contenido del sistema de archivos a través de la equivalencia de ruta.La equivalencia de ruta implica el uso de caracteres especiales en los nombres de archivos y directorio.Las manipulaciones asociadas están destinadas a generar múltiples nombres para el mismo objeto.
42;Path Equivalence: 'filename.' (Trailing Dot);The product accepts path input in the form of trailing dot ('filedir.') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Equivalencia de ruta: 'nombre de archivo'.(Punto de arrastre);El producto acepta la entrada de ruta en forma de DOT final ('FileDir') sin la validación adecuada, lo que puede conducir a una resolución de ruta ambigua y permitir que un atacante atraviese el sistema de archivos para ubicaciones no intencionadas o acceda a archivos arbitrarios.
43;Path Equivalence: 'filename....' (Multiple Trailing Dot);The product accepts path input in the form of multiple trailing dot ('filedir....') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Equivalencia de ruta: 'nombre de archivo ....' (múltiples puntos finales);El producto acepta la entrada de ruta en forma de múltiples puntos finales ('FileDir ...') sin la validación adecuada, lo que puede conducir a una resolución de ruta ambigua y permitir que un atacante atraviese el sistema de archivos a ubicaciones no intencionadas o acceda a archivos arbitrarios.
44;Path Equivalence: 'file.name' (Internal Dot);The product accepts path input in the form of internal dot ('file.ordir') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Equivalencia de ruta: 'file.name' (punto interno);El producto acepta la entrada de ruta en forma de DOT interno ('File.ordir') sin la validación adecuada, lo que puede conducir a una resolución de ruta ambigua y permitir que un atacante atraviese el sistema de archivos para ubicaciones no intencionadas o acceda a archivos arbitrarios.
45;Path Equivalence: 'file...name' (Multiple Internal Dot);The product accepts path input in the form of multiple internal dot ('file...dir') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Equivalencia de ruta: 'archivo ... nombre' (punto interno múltiple);El producto acepta la entrada de ruta en forma de múltiples puntos internos ('Archivo ... Dir') sin la validación adecuada, lo que puede conducir a una resolución de ruta ambigua y permitir que un atacante atraviese el sistema de archivos a ubicaciones no intencionadas o acceda a archivos arbitrarios.
46;Path Equivalence: 'filename ' (Trailing Space);The product accepts path input in the form of trailing space ('filedir ') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Equivalencia de ruta: 'nombre de archivo' (espacio final);El producto acepta la entrada de ruta en forma de espacio final ('FileDir') sin la validación adecuada, lo que puede conducir a una resolución de ruta ambigua y permitir que un atacante atraviese el sistema de archivos a ubicaciones no intencionadas o acceda a archivos arbitrarios.
47;Path Equivalence: ' filename' (Leading Space);The product accepts path input in the form of leading space (' filedir') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Equivalencia de ruta: 'nombre de archivo' (espacio principal);El producto acepta la entrada de ruta en forma de espacio principal ('FileDir') sin la validación adecuada, lo que puede conducir a una resolución de ruta ambigua y permitir que un atacante atraviese el sistema de archivos para ubicaciones involuntarias o acceda a archivos arbitrarios.
48;Path Equivalence: 'file name' (Internal Whitespace);The product accepts path input in the form of internal space ('file(SPACE)name') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Equivalencia de ruta: 'Nombre de archivo' (Whitespace interno);El producto acepta la entrada de ruta en forma de espacio interno ('Nombre de' archivo (espacio) ') sin la validación adecuada, lo que puede conducir a una resolución de ruta ambigua y permitir que un atacante atraviese el sistema de archivos a ubicaciones no intencionadas o acceda a archivos arbitrarios.
49;Path Equivalence: 'filename/' (Trailing Slash);The product accepts path input in the form of trailing slash ('filedir/') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Equivalencia de ruta: 'FileName/' (Slash de final);El producto acepta la entrada de ruta en forma de barra de corte final ('FileDir/') sin la validación adecuada, lo que puede conducir a una resolución de ruta ambigua y permitir que un atacante atraviese el sistema de archivos a ubicaciones no intencionadas o acceda a archivos arbitrarios.
50;Path Equivalence: '//multiple/leading/slash';The product accepts path input in the form of multiple leading slash ('//multiple/leading/slash') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Equivalencia de ruta: '// múltiplo/liderando/slash';El producto acepta la entrada de ruta en forma de múltiples slash líder ('// múltiplo/liderazgo/skin') sin la validación adecuada, lo que puede conducir a una resolución de ruta ambigua y permitir que un atacante atraviese el sistema de archivos a ubicaciones no intencionadas o acceda a archivos arbitrarios.
51;Path Equivalence: '/multiple//internal/slash';The product accepts path input in the form of multiple internal slash ('/multiple//internal/slash/') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Equivalencia de ruta: '/múltiplo // interno/slash';El producto acepta la entrada de ruta en forma de múltiples barras internos ('/múltiples // interno/slash/') sin la validación adecuada, lo que puede conducir a una resolución de ruta ambigua y permitir que un atacante atraviese el sistema de archivos a ubicaciones no intencionadas o acceda a un arbitraria arbitrariaarchivos.
52;Path Equivalence: '/multiple/trailing/slash//';The product accepts path input in the form of multiple trailing slash ('/multiple/trailing/slash//') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Equivalencia de ruta: '/múltiplo/trailing/slash //';El producto acepta la entrada de ruta en forma de múltiples barras de corte ('/múltiplo/trailing/slash //') sin la validación adecuada, lo que puede conducir a una resolución de ruta ambigua y permitir que un atacante atravese el sistema de archivos a ubicaciones no intencionadas o acceda a un arbitrario arbitrarioarchivos.
53;Path Equivalence: 'multipleinternalbackslash';The product accepts path input in the form of multiple internal backslash ('multipletrailingslash') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Equivalencia de la ruta: 'múltiple INTERNALBACKSHASH';El producto acepta la entrada de ruta en forma de múltiples invertido interno ('MultipLetRailingSlash') sin la validación adecuada, lo que puede conducir a una resolución de ruta ambigua y permitir que un atacante atraviese el sistema de archivos a ubicaciones no intencionadas o acceda a archivos arbitrarios.
54;Path Equivalence: 'filedir' (Trailing Backslash);The product accepts path input in the form of trailing backslash ('filedir') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Equivalencia de ruta: 'FileDir' (inactividad trasera de fondo);El producto acepta la entrada de ruta en forma de inactividad trasera ('FileDir') sin la validación adecuada, lo que puede conducir a una resolución de ruta ambigua y permitir que un atacante atraviese el sistema de archivos para ubicaciones no intencionadas o acceda a archivos arbitrarios.
55;Path Equivalence: '/./' (Single Dot Directory);The product accepts path input in the form of single dot directory exploit ('/./') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Equivalencia de ruta: '/./' (directorio de puntos individuales);El producto acepta la entrada de ruta en forma de exploit de directorio de puntos único ('/./') sin la validación adecuada, lo que puede conducir a una resolución de ruta ambigua y permitir que un atacante atraviese el sistema de archivos a ubicaciones no intencionadas o acceda a archivos arbitrarios.
56;Path Equivalence: 'filedir*' (Wildcard);The product accepts path input in the form of asterisk wildcard ('filedir*') without appropriate validation, which can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.;Equivalencia de la ruta: 'FileDir*' (comodín);El producto acepta la entrada de ruta en forma de comodín de asterisco ('FileDir*') sin la validación adecuada, lo que puede conducir a una resolución de ruta ambigua y permitir que un atacante atraviese el sistema de archivos para ubicaciones no intencionadas o acceda a archivos arbitrarios.
57;Path Equivalence: 'fakedir/../realdir/filename';The product contains protection mechanisms to restrict access to 'realdir/filename', but it constructs pathnames using external input in the form of 'fakedir/../realdir/filename' that are not handled by those mechanisms. This allows attackers to perform unauthorized actions against the targeted file.;Equivalencia de ruta: 'Fakedir /../ RealDir/FileName';El producto contiene mecanismos de protección para restringir el acceso al 'realdo/nombre de archivo', pero construye los nombres de ruta utilizando la entrada externa en forma de 'Fakedir /../ RealDir/FileName' que no son manejados por esos mecanismos.Esto permite a los atacantes realizar acciones no autorizadas contra el archivo objetivo.
58;Path Equivalence: Windows 8.3 Filename;The product contains a protection mechanism that restricts access to a long filename on a Windows operating system, but it does not properly restrict access to the equivalent short 8.3 filename.;Equivalencia de ruta: nombre de archivo Windows 8.3;El producto contiene un mecanismo de protección que restringe el acceso a un nombre de archivo largo en un sistema operativo de Windows, pero no restringe correctamente el acceso al nombre de archivo corto de 8.3 equivalente.
59;Improper Link Resolution Before File Access ('Link Following');The product attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource.;Resolución de enlace incorrecto antes del acceso al archivo ('enlace siguiente');El producto intenta acceder a un archivo basado en el nombre de archivo, pero no evita que ese nombre de archivo identifique un enlace o atajo que se resuelva a un recurso involuntario.
61;UNIX Symbolic Link (Symlink) Following;The product, when opening a file or directory, does not sufficiently account for when the file is a symbolic link that resolves to a target outside of the intended control sphere. This could allow an attacker to cause the product to operate on unauthorized files.;Unix Symbolic Link (Symlink) siguiendo;El producto, al abrir un archivo o directorio, no tiene en cuenta lo suficiente cuando el archivo es un enlace simbólico que se resuelve a un objetivo fuera de la esfera de control prevista.Esto podría permitir que un atacante haga que el producto funcione en archivos no autorizados.
62;UNIX Hard Link;The product, when opening a file or directory, does not sufficiently account for when the name is associated with a hard link to a target that is outside of the intended control sphere. This could allow an attacker to cause the product to operate on unauthorized files.;Enlace duro unix;El producto, al abrir un archivo o directorio, no tiene en cuenta lo suficiente cuando el nombre está asociado con un enlace duro a un objetivo que está fuera de la esfera de control prevista.Esto podría permitir que un atacante haga que el producto funcione en archivos no autorizados.
64;Windows Shortcut Following (.LNK);The product, when opening a file or directory, does not sufficiently handle when the file is a Windows shortcut (.LNK) whose target is outside of the intended control sphere. This could allow an attacker to cause the product to operate on unauthorized files.;A continuación de Windows Actualidad (.lnk);El producto, al abrir un archivo o directorio, no se maneja suficientemente cuando el archivo es un atajo de Windows (.lnk) cuyo objetivo está fuera de la esfera de control prevista.Esto podría permitir que un atacante haga que el producto funcione en archivos no autorizados.
65;Windows Hard Link;The product, when opening a file or directory, does not sufficiently handle when the name is associated with a hard link to a target that is outside of the intended control sphere. This could allow an attacker to cause the product to operate on unauthorized files.;Enlace duro de Windows;El producto, al abrir un archivo o directorio, no se maneja suficientemente cuando el nombre está asociado con un enlace duro a un objetivo que está fuera de la esfera de control prevista.Esto podría permitir que un atacante haga que el producto funcione en archivos no autorizados.
66;Improper Handling of File Names that Identify Virtual Resources;The product does not handle or incorrectly handles a file name that identifies a virtual resource that is not directly specified within the directory that is associated with the file name, causing the product to perform file-based operations on a resource that is not a file.;Manejo inadecuado de nombres de archivos que identifican recursos virtuales;El producto no maneja ni maneja incorrectamente un nombre de archivo que identifica un recurso virtual que no se especifica directamente dentro del directorio asociado con el nombre del archivo, lo que hace que el producto realice operaciones basadas en archivos en un recurso que no es un archivo.
67;Improper Handling of Windows Device Names;The product constructs pathnames from user input, but it does not handle or incorrectly handles a pathname containing a Windows device name such as AUX or CON. This typically leads to denial of service or an information exposure when the application attempts to process the pathname as a regular file.;Manejo inadecuado de los nombres de dispositivos de Windows;El producto construye los nombres de ruta a partir de la entrada del usuario, pero no maneja ni maneja incorrectamente un nombre de ruta que contiene un nombre de dispositivo de Windows como AUX o CON.Esto generalmente conduce a la denegación de servicio o una exposición a la información cuando la aplicación intenta procesar el nombre de ruta como un archivo regular.
69;Improper Handling of Windows ::DATA Alternate Data Stream;The product does not properly prevent access to, or detect usage of, alternate data streams (ADS).;Manejo inadecuado de Windows :: flujo de datos alternativo de datos;El producto no evita correctamente el acceso o detecta el uso de flujos de datos (AD) alternativos.
71;DEPRECATED: Apple '.DS_Store';This entry has been deprecated as it represents a specific observed example of a UNIX Hard Link weakness type rather than its own individual weakness type. Please refer to CWE-62.;Deprecido: Apple '.ds_store';Esta entrada se ha desactivado, ya que representa un ejemplo específico observado de un tipo de debilidad de enlace duro UNIX en lugar de su propio tipo de debilidad individual.Consulte CWE-62.
72;Improper Handling of Apple HFS+ Alternate Data Stream Path;The product does not properly handle special paths that may identify the data or resource fork of a file on the HFS+ file system.;Manejo inadecuado de Apple HFS+ Ruta de flujo de datos alternativo;El producto no maneja correctamente rutas especiales que puedan identificar los datos o la bifurcación de recursos de un archivo en el sistema de archivos HFS+.
73;External Control of File Name or Path;The product allows user input to control or influence paths or file names that are used in filesystem operations.;Control externo del nombre o ruta del archivo;El producto permite que la entrada del usuario controle o influya en rutas o nombres de archivos que se utilizan en las operaciones del sistema de archivos.
74;Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection');The product constructs all or part of a command, data structure, or record using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify how it is parsed or interpreted when it is sent to a downstream component.;Neutralización inadecuada de elementos especiales en la producción utilizados por un componente aguas abajo ('inyección');El producto construye todo o parte de un comando, una estructura de datos o un registro utilizando la entrada de influencia externa de un componente aguas arriba, pero no neutraliza ni neutraliza incorrectamente elementos especiales que podrían modificar cómo se analiza o se interpreta cuando se envía a unComponente aguas abajo.
75;Failure to Sanitize Special Elements into a Different Plane (Special Element Injection);The product does not adequately filter user-controlled input for special elements with control implications.;No desinfectar elementos especiales en un plano diferente (inyección de elementos especiales);El producto no filtra adecuadamente la entrada controlada por el usuario para elementos especiales con implicaciones de control.
76;Improper Neutralization of Equivalent Special Elements;The product correctly neutralizes certain special elements, but it improperly neutralizes equivalent special elements.;Neutralización incorrecta de elementos especiales equivalentes;El producto neutraliza correctamente ciertos elementos especiales, pero neutraliza incorrectamente elementos especiales equivalentes.
77;Improper Neutralization of Special Elements used in a Command ('Command Injection');The product constructs all or part of a command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component.;Neutralización inadecuada de elementos especiales utilizados en un comando ('inyección de comando');El producto construye todo o parte de un comando que use entrada influyente externamente de un componente aguas arriba, pero no neutraliza ni neutraliza incorrectamente elementos especiales que podrían modificar el comando previsto cuando se envía a un componente aguas abajo.
78;Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection');The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component.;Neutralización inadecuada de elementos especiales utilizados en un comando OS ('inyección de comando OS');El producto construye todo o parte de un comando SO que use entrada influyente externamente de un componente aguas arriba, pero no neutraliza ni neutraliza incorrectamente elementos especiales que podrían modificar el comando OS previsto cuando se envía a un componente aguas abajo.
79;Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting');The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.;Neutralización inadecuada de la entrada durante la generación de páginas web ('Scripting de sitios cruzados');El producto no neutraliza ni neutraliza incorrectamente la entrada controlable del usuario antes de colocarlo en la salida que se usa como una página web que se sirve a otros usuarios.
80;Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS);The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters such as <, >, and & that could be interpreted as web-scripting elements when they are sent to a downstream component that processes web pages.;Neutralización inadecuada de las etiquetas HTML relacionadas con el script en una página web (XSS básico);El producto recibe información de un componente aguas arriba, pero no neutraliza ni neutraliza incorrectamente caracteres especiales como <,>, y que podrían interpretarse como elementos de escritura web cuando se envían a un componente aguas abajo que procesa páginas web.
81;Improper Neutralization of Script in an Error Message Web Page;The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters that could be interpreted as web-scripting elements when they are sent to an error page.;Neutralización incorrecta del script en una página web de mensaje de error;El producto recibe información de un componente aguas arriba, pero no neutraliza ni neutraliza incorrectamente caracteres especiales que podrían interpretarse como elementos de escritura web cuando se envían a una página de error.
82;Improper Neutralization of Script in Attributes of IMG Tags in a Web Page;The web application does not neutralize or incorrectly neutralizes scripting elements within attributes of HTML IMG tags, such as the src attribute.;Neutralización inadecuada del script en los atributos de las etiquetas IMG en una página web;La aplicación web no neutraliza ni neutraliza incorrectamente elementos de secuencias de comandos dentro de los atributos de etiquetas IMG HTML, como el atributo SRC.
83;Improper Neutralization of Script in Attributes in a Web Page;The product does not neutralize or incorrectly neutralizes javascript: or other URIs from dangerous attributes within tags, such as onmouseover, onload, onerror, or style.;Neutralización inadecuada del script en atributos en una página web;El producto no neutraliza ni neutraliza incorrectamente a JavaScript: u otros URI a partir de atributos peligrosos dentro de las etiquetas, como On Mouseover, Onload, OnError o Style.
